step,crossentropy,val crossentropy,acc micro,val acc micro,acc macro,val acc macro
1,0.03365112983045124,0.1225657794210646,0.5949672183820179,0.7882649799187978,0.29354174186786014,0.5068579812844595
2,0.012694028972768459,0.0642727944586012,0.8401925237405867,0.8891438841819763,0.5992399298009419,0.6798128088315328
3,0.007358192772416571,0.0478401564889484,0.9093889523120153,0.9181722005208334,0.7149582576184046,0.7366805573304495
4,0.005052706602614483,0.0407829698589113,0.9383068297590528,0.929125984509786,0.774011873063587,0.7715681791305542
5,0.003790746935032933,0.03654593560430739,0.9541271428267161,0.9364339212576548,0.8146511231149945,0.8026234110196432
6,0.003116547968449777,0.03662550946076711,0.9630080461502075,0.9365397095680237,0.8370182641914913,0.802318811416626
7,0.0030217503583958357,0.03630360340078672,0.964162480263483,0.9373128215471903,0.8394254587945484,0.8071180383364359
8,0.00294472633221117,0.036033954471349716,0.9649786055088043,0.9375488261381785,0.8422317192668006,0.8047530253728231
9,0.0028784951055739203,0.03595979263385137,0.9657575346174694,0.9378743469715118,0.8437129500366393,0.805004745721817
10,0.0028139540794687745,0.03570781979295943,0.9665701673144386,0.9384521543979645,0.8471913295132774,0.8079464832941691
11,0.002747509641205372,0.03555929991934035,0.9673328186784472,0.93896484375,0.8492217418693361,0.8027631739775339
12,0.0026850831692789147,0.03515517877207862,0.9681024437858945,0.9392822285493215,0.8525952781949725,0.8087865809599558
13,0.0026250469061184904,0.03538675026761161,0.9688092839150202,0.9390543599923452,0.8548568813573747,0.809412290652593
14,0.002565903994603222,0.03511581404341592,0.9693917405037653,0.9398030539353689,0.8568622853074755,0.8138548930486044
15,0.0025090232846282775,0.034927228258715734,0.9701264883790698,0.940209964911143,0.8599472045898438,0.8136118749777476
16,0.002458953537266541,0.03490156556169192,0.9706891760939643,0.9402343730131785,0.8616412537438529,0.8140218555927277
17,0.0024498726902297298,0.03496473986241553,0.9707728780451275,0.9402425090471903,0.8623370812052772,0.8158662021160126
18,0.0024454776544014073,0.03506880584690306,0.9708379790896461,0.9400390684604645,0.8627104418618339,0.8157383402188619
19,0.002438702922559379,0.03508620253867573,0.9708868109044575,0.9399902323881785,0.8619962916487739,0.8123120764891306
20,0.0024353973314064697,0.03493406996130943,0.9709658679508028,0.9402181009451548,0.8630409439404806,0.8131567239761353
